"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2021";"The Netherlands";2,51;27,24;69,85
"Total";"Population 6 years or older";"Sunday";"Value";"2021";"The Netherlands";1,83;26,26;69,81
"Total";"Population 6 years or older";"Monday";"Value";"2021";"The Netherlands";2,49;24,81;65,97
"Total";"Population 6 years or older";"Tuesday";"Value";"2021";"The Netherlands";2,59;26,5;67,19
"Total";"Population 6 years or older";"Wednesday";"Value";"2021";"The Netherlands";2,67;27,9;70,49
"Total";"Population 6 years or older";"Thursday";"Value";"2021";"The Netherlands";2,62;26,94;68,33
"Total";"Population 6 years or older";"Friday";"Value";"2021";"The Netherlands";2,81;29,78;72,12
"Total";"Population 6 years or older";"Saturday";"Value";"2021";"The Netherlands";2,52;28,43;74,98
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2021";"The Netherlands";0,37;6,13;9,59
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2021";"The Netherlands";0,09;1,25;2,18
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2021";"The Netherlands";0,47;7,77;12,04
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2021";"The Netherlands";0,5;9,08;13,58
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2021";"The Netherlands";0,49;8,53;13,29
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2021";"The Netherlands";0,48;8,07;12,39
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2021";"The Netherlands";0,4;6,27;10,13
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2021";"The Netherlands";0,17;1,93;3,51
